horaire,titre,artiste
2023-05-10 08:04:00,"NEL CUORE, NELL'ANIMA",LUCIO BATTISTI
2023-05-10 08:05:00,HEADS DOWN,RACHAEL DADD
2023-05-10 08:09:00,CHINESE CHILLIN,SHAWN LEE
2023-05-10 08:11:00,RIVERS OF BABYLON,THE MELODIANS
2023-05-10 08:14:00,TU NE SAIS PAS,NANCY HOLLOWAY
2023-05-10 08:17:00,NEON,LA PRIEST
2023-05-10 08:21:00,MILES AWAY,KAZAM
2023-05-10 08:23:00,NEW BLOWTOP BLUES,DINAH WASHINGTON
2023-05-10 08:26:00,WELCOME TO HARD TIMES,CHARLEY CROCKETT  KULLEN FOX
2023-05-10 08:29:00,IF YOU DON'T WANT MY LOVE,JALEN N'GONDA
2023-05-10 08:31:00,SUNSHINE,THE MAC CRARYS
2023-05-10 08:31:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
